Date,IndexValue
1996-11-1,103283.3774
1996-12-1,101609.8976
1997-1-1,102815.4077
1997-2-1,103978.6997
1997-3-1,101902.5541
1997-4-1,105214.0557
1997-5-1,111689.0405
1997-6-1,117240.3941
1997-7-1,122620.9623
1997-8-1,114398.9031
1997-9-1,120594.5601
1997-10-1,114228.054
1997-11-1,116229.9672
1997-12-1,117627.0527
1998-1-1,120885.5585
1998-2-1,129043.2065
1998-3-1,134472.4339
1998-4-1,135766.334
1998-5-1,134044.5777
1998-6-1,137205.4463
1998-7-1,136964.9565
1998-8-1,118679.7615
1998-9-1,120758.3304
1998-10-1,131654.1564
1998-11-1,139462.8998
1998-12-1,146255.1577
1999-1-1,149436.4338
1999-2-1,145440.0051
1999-3-1,151474.3152
1999-4-1,157424.3806
1999-5-1,151650.7127
1999-6-1,158702.6562
1999-7-1,158205.1593
1999-8-1,157902.4266
1999-9-1,156349.8613
1999-10-1,164455.4702
1999-11-1,169060.6805
1999-12-1,182723.7014
2000-1-1,172238.7679
2000-2-1,172682.6313
2000-3-1,184596.7922
2000-4-1,176770.4474
2000-5-1,172274.0984
2000-6-1,178053.5697
2000-7-1,173019.8654
2000-8-1,178626.5106
2000-9-1,169107.4902
2000-10-1,166253.372
2000-11-1,156138.7711
2000-12-1,158643.7295
2001-1-1,161698.6703
2001-2-1,148015.3056
2001-3-1,138268.3588
2001-4-1,148460.6996
2001-5-1,146526.1312
2001-6-1,141914.6711
2001-7-1,140017.7928
2001-8-1,133276.4261
2001-9-1,121514.8752
2001-10-1,123835.2093
2001-11-1,131142.5018
2001-12-1,131953.6367
2002-1-1,127942.6039
2002-2-1,126817.3209
2002-3-1,132403.6223
2002-4-1,127903.2556
2002-5-1,128116.5141
2002-6-1,120321.0357
2002-7-1,110168.6171
2002-8-1,110356.7488
2002-9-1,98206.43474
2002-10-1,105442.6836
2002-11-1,111111.6992
2002-12-1,105713.2107
2003-1-1,102491.6935
2003-2-1,100697.9369
2003-3-1,100365.5496
2003-4-1,109259.7813
2003-5-1,115480.3737
2003-6-1,117464.4303
2003-7-1,119836.0384
2003-8-1,122410.3823
2003-9-1,123147.0935
2003-10-1,130442.5879
2003-11-1,132414.145
2003-12-1,140711.2656
2004-1-1,142969.1018
2004-2-1,145363.1581
2004-3-1,144398.5842
2004-4-1,141441.0893
2004-5-1,142729.7599
2004-6-1,145659.8323
2004-7-1,140904.0528
2004-8-1,141523.357
2004-9-1,144200.6314
2004-10-1,147729.2816
2004-11-1,155489.6846
2004-12-1,161425.2097
2005-1-1,157790.823
2005-2-1,162789.3243
2005-3-1,159629.3486
2005-4-1,156151.1431
2005-5-1,158925.5445
2005-6-1,160300.6919
2005-7-1,165900.2583
2005-8-1,167150.346
2005-9-1,171491.8529
2005-10-1,167331.2713
2005-11-1,172906.6675
2005-12-1,176737.3489
2006-1-1,184629.2529
2006-2-1,184354.3892
2006-3-1,188408.1503
2006-4-1,194128.376
2006-5-1,187497.1461
2006-6-1,187442.1734
2006-7-1,188611.9703
2006-8-1,193507.7963
2006-9-1,195815.1207
2006-10-1,203002.0726
2006-11-1,207973.2151
2006-12-1,212201.5242
2007-1-1,214706.6101
2007-2-1,213589.3626
2007-3-1,217499.1869
2007-4-1,227093.6514
2007-5-1,233454.2904
2007-6-1,231653.5825
2007-7-1,226523.3251
2007-8-1,226351.4556
2007-9-1,237115.717
2007-10-1,244388.4442
2007-11-1,234398.8393
2007-12-1,231374.8286
2008-1-1,213693.2496
2008-2-1,212456.4268
2008-3-1,210420.0121
2008-4-1,221479.2896
2008-5-1,224856.5416
2008-6-1,206922.5471
2008-7-1,201866.5221
2008-8-1,199030.5156
2008-9-1,175358.6301
2008-10-1,142110.4557
2008-11-1,132911.8332
2008-12-1,137176.1105
2009-1-1,125158.7003
2009-2-1,112347.5654
2009-3-1,120819.5529
2009-4-1,134373.0111
2009-5-1,146548.0055
2009-6-1,145886.8659
2009-7-1,158243.0407
2009-8-1,164771.3402
2009-9-1,171338.8604
2009-10-1,168290.552
2009-11-1,175167.3735
2009-12-1,178312.8727
2010-1-1,170943.0184
2010-2-1,173352.763
2010-3-1,184088.5814
2010-4-1,184114.4096
2010-5-1,166478.4286
2010-6-1,160770.5111
2010-7-1,173804.6618
2010-8-1,167315.6468
2010-9-1,182917.1264
2010-10-1,189735.4676
2010-11-1,185639.1697
2010-12-1,199288.3518
2011-1-1,203790.6317
2011-2-1,210925.9271
2011-3-1,208845.8276
2011-4-1,217718.1212
2011-5-1,213201.4923
2011-6-1,209828.7044
2011-7-1,206024.0426
2011-8-1,191508.1789
2011-9-1,174967.5074
2011-10-1,193065.591
2011-11-1,188351.7745
2011-12-1,188247.1222
2012-1-1,197693.9511
2012-2-1,207351.0411
2012-3-1,210016.8362
2012-4-1,207631.8995
2012-5-1,189708.3001
2012-6-1,199374.9562
2012-7-1,201938.0122
2012-8-1,207057.4918
2012-9-1,212746.0859
2012-10-1,211308.4404
2012-11-1,214014.2215
2012-12-1,218039.0294
2013-1-1,229145.8181
2013-2-1,229524.1861
2013-3-1,234900.4177
2013-4-1,242297.6308
2013-5-1,242389.1458
2013-6-1,236416.5683
2013-7-1,248862.9189
2013-8-1,243565.8939
2013-9-1,255747.2657
2013-10-1,265758.1072
2013-11-1,270481.0433
2013-12-1,276204.3302
2014-1-1,265974.1717
2014-2-1,279289.1171
2014-3-1,279693.3134
2014-4-1,282559.2934
2014-5-1,288118.6187
2014-6-1,293272.791
2014-7-1,288592.3918
2014-8-1,294951.564
2014-9-1,286946.2708
2014-10-1,288802.5254
2014-11-1,294590.3511
2014-12-1,289840.0561
2015-1-1,284588.2465
